"","x"
"1332",0.049708222
"1333",0.063851472
"1334",0.052517891
"1335",0.018018506
"1336",0.040326296
"1337",-0.071095922
"1338",0.050293354
"1339",0.042467021
"1340",-0.050010421
"1341",0.359941853
"1342",-0.031121731
"1343",0.014648149
"1344",-0.036947947
"1345",0.023941862
"1346",-0.043842638
"1347",-0.004756359
"1348",0.015638894
"1349",0.034567128
"1350",0.054415005
"1351",0.066939483
"1352",-0.028542677
"1353",-0.238085131
"1354",-0.063715814
"1355",0.020619287
"1356",0.030086205
"1357",0.061622174
"1358",0.07623928
"1359",-0.0559738
"1360",-0.097318702
"1361",0.053623349
"1362",-0.017641864
"1363",-0.012390453
"1364",-0.080337477
"1365",0.053152607
"1366",-0.04310324
"1367",-0.182321557
"1368",-0.126293725
"1369",0.034319828
"1370",0.00643089
"1371",-0.019862928
"1372",0.003062164
"1373",0.025160415
"1374",-0.005589444
"1375",0.084105581
